datetime,hourly_site_load_in_watt,NOK_per_kWh,temp,windgust,windspeed,winddir,solarradiation,solarenergy,uvindex
2024-10-11 03,1452.67,0.41193,4.9,32.3,19.6,333,0,0,0
2024-10-11 04,1081.75,0.42121,5.2,28.4,15.8,329,0,0,0
2024-10-11 05,1623,0.42156,5.3,28.4,13.2,335,0,0,0
2024-10-11 06,2991.89,0.43154,5.4,22.6,14.2,320,0,0,0
2024-10-11 07,2951.44,0.48507,5.3,21.7,13.6,313,0,0,0
2024-10-11 08,2886.14,0.54517,4.3,26.8,20.5,307,0,0,0
2024-10-11 09,2937.61,0.57511,4.4,22,16.1,294,2,0,0
2024-10-11 10,3039.51,0.56983,4.2,23.6,12.4,296,22,0.1,0
2024-10-11 11,2777,0.54729,5.8,14.9,10.6,290,49,0.2,0
2024-10-11 12,1198.27,0.51148,7,13.1,5.1,277,153,0.6,2
2024-10-11 13,1277.23,0.4981,8.4,11.4,8.5,211,230,0.8,2
2024-10-11 14,1199.77,0.48824,9.1,25.6,18.4,212,254,0.9,3
2024-10-11 15,1117.72,0.4711,9.5,26,22.3,232,254,0.9,3
2024-10-11 16,1252.16,0.46922,9.4,35.9,20.8,219,176,0.6,2
2024-10-11 17,1420.11,0.48096,9.6,33.7,23,217,94,0.3,1
2024-10-11 18,1123.31,0.51582,9.1,31.2,20.6,221,60,0.2,1
2024-10-11 19,1364.01,0.51324,9.2,31.7,22.4,223,19,0.1,0
2024-10-11 20,1307.51,0.5116,8.6,38,27,227,1,0,0
2024-10-11 21,1110.7,0.5062,8.3,42.3,27.4,233,0,0,0
2024-10-11 22,1335.74,0.50585,7.7,41.5,29.2,251,0,0,0
2024-10-11 23,1338.88,0.50209,7,39.1,28.9,253,0,0,0
2024-10-12 00,1033.62,0.49434,6.3,37.9,25.2,269,0,0,0
2024-10-12 01,1377.56,0.44527,5.4,44.5,28.2,302,0,0,0
2024-10-12 02,1470,0.43717,4.4,40.7,21.2,287,0,0,0
2024-10-12 03,1054.24,0.43611,4.3,31.2,15.2,274,0,0,0
2024-10-12 04,1331.66,0.43482,3.3,23.8,19.2,290,0,0,0
2024-10-12 05,1335.15,0.43541,2.9,20.5,10.9,256,0,0,0
2024-10-12 06,987.56,0.44011,3,15.4,13,251,0,0,0
2024-10-12 07,1301.75,0.44245,1,13.6,6.4,311,0,0,0
2024-10-12 08,1196.52,0.46687,0.4,11.3,3.4,79,0,0,0
2024-10-12 09,982.16,0.46899,0.9,11.4,10.7,61,4,0,0
2024-10-12 10,1226.69,0.46887,0.8,13.4,9.3,72,39,0.1,0
2024-10-12 11,1388.63,0.43471,2.9,17.1,11.3,97,73,0.3,1
2024-10-12 12,1080.51,0.40242,5.5,16.4,13.9,148,101,0.4,1
2024-10-12 13,1392.7,0.3132,6.3,16.1,11.3,117,109,0.4,1
2024-10-12 14,1281.08,0.21319,7.4,38.1,21.9,147,123,0.4,1
2024-10-12 15,1138.36,0.35946,8.1,44.9,33.3,307,82,0.3,1
2024-10-12 16,1418.27,0.41451,8.9,47.7,34.9,335,76,0.3,1
2024-10-12 17,1451.35,0.44175,9.2,41.9,32.1,291,36,0.1,0
2024-10-12 18,1203.56,0.4637,9.6,47.1,31.5,191,17,0.1,0
2024-10-12 19,1589.02,0.47791,7.8,52.5,35.3,254,11,0,0
2024-10-12 20,1540.72,0.47051,9.4,57.4,41.6,174,0,0,0
2024-10-12 21,1202.43,0.45525,9.8,51.4,35.2,169,0,0,0
2024-10-12 22,1359.02,0.4522,9.3,51.9,33.5,278,0,0,0
2024-10-12 23,1390.76,0.41076,9.6,57.7,29.6,130,0,0,0
2024-10-13 00,1201.9,0.30733,8.9,45.8,26.3,140,0,0,0
2024-10-13 01,1474.8,0,8.5,40.7,25.9,138,0,0,0
2024-10-13 02,1403.49,-0.00012,8.3,40.8,25.5,137,0,0,0
2024-10-13 03,1161.61,-0.00082,8.4,42.9,20.1,127,0,0,0
2024-10-13 04,1423.17,-0.00434,8.1,34.1,21.3,118,0,0,0
2024-10-13 05,1342.47,-0.00599,7.6,36,21.3,108,0,0,0
2024-10-13 06,1097.91,-0.00106,7.5,34.4,25.5,98,0,0,0
2024-10-13 07,1491.56,-0.00012,7.6,35.5,23.9,94,0,0,0
2024-10-13 08,1310.19,0.02078,7.2,32.4,20.5,87,0,0,0
2024-10-13 09,1138.9,0.21718,7.6,27.2,22.3,78,1,0,0
2024-10-13 10,1340.62,0.11915,7.8,27.8,16.8,71,17,0.1,0
2024-10-13 11,1333.4,0.0594,8.7,22.5,19.2,65,54,0.2,1
2024-10-13 12,1215.71,0.07513,9,29.7,21.6,61,99,0.4,1
2024-10-13 13,2258.87,0.07713,9.6,25.8,16.8,59,183,0.7,2
2024-10-13 14,1514.46,0.08581,9.8,30.3,22.5,52,157,0.6,2
